Precinct,Crime Description,Year,Count
Newton,BURGLARY,2020,567
Newton,BURGLARY,2021,507
Newton,BURGLARY,2022,637
Newton,BURGLARY,2023,540
Newton,BURGLARY FROM VEHICLE,2020,471
Newton,BURGLARY FROM VEHICLE,2021,553
Newton,BURGLARY FROM VEHICLE,2022,630
Newton,BURGLARY FROM VEHICLE,2023,640
Newton,THEFT OF IDENTITY,2020,186
Newton,THEFT OF IDENTITY,2021,244
Newton,THEFT OF IDENTITY,2022,1309
Newton,THEFT OF IDENTITY,2023,573
Newton,VEHICLE - STOLEN,2020,1611
Newton,VEHICLE - STOLEN,2021,1603
Newton,VEHICLE - STOLEN,2022,1786
Newton,VEHICLE - STOLEN,2023,1693
Northeast,BATTERY - SIMPLE ASSAULT,2020,550
Northeast,BATTERY - SIMPLE ASSAULT,2021,591
Northeast,BATTERY - SIMPLE ASSAULT,2022,688
Northeast,BATTERY - SIMPLE ASSAULT,2023,590
Northeast,BURGLARY,2020,615
Northeast,BURGLARY,2021,577
Northeast,BURGLARY,2022,636
Northeast,BURGLARY,2023,528
Northeast,BURGLARY FROM VEHICLE,2020,657
Northeast,BURGLARY FROM VEHICLE,2021,615
Northeast,BURGLARY FROM VEHICLE,2022,718
Northeast,BURGLARY FROM VEHICLE,2023,669
Northeast,THEFT OF IDENTITY,2020,418
Northeast,THEFT OF IDENTITY,2021,481
Northeast,THEFT OF IDENTITY,2022,724
Northeast,THEFT OF IDENTITY,2023,455
Northeast,VEHICLE - STOLEN,2020,1042
Northeast,VEHICLE - STOLEN,2021,1197
Northeast,VEHICLE - STOLEN,2022,1175
Northeast,VEHICLE - STOLEN,2023,923
Olympic,BATTERY - SIMPLE ASSAULT,2020,929
Olympic,BATTERY - SIMPLE ASSAULT,2021,1031
Olympic,BATTERY - SIMPLE ASSAULT,2022,1095
Olympic,BATTERY - SIMPLE ASSAULT,2023,998
Olympic,BURGLARY,2020,662
Olympic,BURGLARY,2021,600
Olympic,BURGLARY,2022,794
Olympic,BURGLARY,2023,727
Olympic,BURGLARY FROM VEHICLE,2020,604
Olympic,BURGLARY FROM VEHICLE,2021,691
Olympic,BURGLARY FROM VEHICLE,2022,764
Olympic,BURGLARY FROM VEHICLE,2023,735
Olympic,THEFT OF IDENTITY,2020,358
Olympic,THEFT OF IDENTITY,2021,538
Olympic,THEFT OF IDENTITY,2022,783
Olympic,THEFT OF IDENTITY,2023,434
Olympic,VEHICLE - STOLEN,2020,891
Olympic,VEHICLE - STOLEN,2021,1302
Olympic,VEHICLE - STOLEN,2022,1350
Olympic,VEHICLE - STOLEN,2023,1109
Pacific,BATTERY - SIMPLE ASSAULT,2020,755
Pacific,BATTERY - SIMPLE ASSAULT,2021,734
Pacific,BATTERY - SIMPLE ASSAULT,2022,753
Pacific,BATTERY - SIMPLE ASSAULT,2023,752
Pacific,BURGLARY,2020,954
Pacific,BURGLARY,2021,968
Pacific,BURGLARY,2022,1015
Pacific,BURGLARY,2023,1053
Pacific,BURGLARY FROM VEHICLE,2020,798
Pacific,BURGLARY FROM VEHICLE,2021,903
Pacific,BURGLARY FROM VEHICLE,2022,851
Pacific,BURGLARY FROM VEHICLE,2023,732
Pacific,THEFT OF IDENTITY,2020,458
Pacific,THEFT OF IDENTITY,2021,613
Pacific,THEFT OF IDENTITY,2022,749
Pacific,THEFT OF IDENTITY,2023,547
Pacific,VEHICLE - STOLEN,2020,1086
Pacific,VEHICLE - STOLEN,2021,1400
Pacific,VEHICLE - STOLEN,2022,1453
Pacific,VEHICLE - STOLEN,2023,1283
Rampart,BATTERY - SIMPLE ASSAULT,2020,903
Rampart,BATTERY - SIMPLE ASSAULT,2021,889
Rampart,BATTERY - SIMPLE ASSAULT,2022,985
Rampart,BATTERY - SIMPLE ASSAULT,2023,1056
Rampart,BURGLARY,2020,405
Rampart,BURGLARY,2021,368
Rampart,BURGLARY,2022,482
Rampart,BURGLARY,2023,406
Rampart,BURGLARY FROM VEHICLE,2020,596
Rampart,BURGLARY FROM VEHICLE,2021,591
Rampart,BURGLARY FROM VEHICLE,2022,595
Rampart,BURGLARY FROM VEHICLE,2023,513
Rampart,THEFT OF IDENTITY,2020,294
Rampart,THEFT OF IDENTITY,2021,401
Rampart,THEFT OF IDENTITY,2022,1190
Rampart,THEFT OF IDENTITY,2023,470
Rampart,VEHICLE - STOLEN,2020,959
Rampart,VEHICLE - STOLEN,2021,1114
Rampart,VEHICLE - STOLEN,2022,1189
Rampart,VEHICLE - STOLEN,2023,1104
Southeast,BATTERY - SIMPLE ASSAULT,2020,911
Southeast,BATTERY - SIMPLE ASSAULT,2021,817
Southeast,BATTERY - SIMPLE ASSAULT,2022,874
Southeast,BATTERY - SIMPLE ASSAULT,2023,898
Southeast,BURGLARY,2020,386
Southeast,BURGLARY,2021,266
Southeast,BURGLARY,2022,300
Southeast,BURGLARY,2023,265
Southeast,BURGLARY FROM VEHICLE,2020,431
Southeast,BURGLARY FROM VEHICLE,2021,343
Southeast,BURGLARY FROM VEHICLE,2022,280
Southeast,BURGLARY FROM VEHICLE,2023,266
Southeast,THEFT OF IDENTITY,2020,295
Southeast,THEFT OF IDENTITY,2021,389
Southeast,THEFT OF IDENTITY,2022,1790
Southeast,THEFT OF IDENTITY,2023,957
Southeast,VEHICLE - STOLEN,2020,1292
Southeast,VEHICLE - STOLEN,2021,1653
Southeast,VEHICLE - STOLEN,2022,1498
Southeast,VEHICLE - STOLEN,2023,1382
Southwest,BATTERY - SIMPLE ASSAULT,2020,1074
Southwest,BATTERY - SIMPLE ASSAULT,2021,971
Southwest,BATTERY - SIMPLE ASSAULT,2022,1046
Southwest,BATTERY - SIMPLE ASSAULT,2023,974
Southwest,BURGLARY,2020,445
Southwest,BURGLARY,2021,458
Southwest,BURGLARY,2022,483
Southwest,BURGLARY,2023,463
Southwest,BURGLARY FROM VEHICLE,2020,491
Southwest,BURGLARY FROM VEHICLE,2021,471
Southwest,BURGLARY FROM VEHICLE,2022,391
Southwest,BURGLARY FROM VEHICLE,2023,436
Southwest,THEFT OF IDENTITY,2020,458
Southwest,THEFT OF IDENTITY,2021,517
Southwest,THEFT OF IDENTITY,2022,1675
Southwest,THEFT OF IDENTITY,2023,673
Southwest,VEHICLE - STOLEN,2020,1067
Southwest,VEHICLE - STOLEN,2021,1266
Southwest,VEHICLE - STOLEN,2022,1415
Southwest,VEHICLE - STOLEN,2023,1456
Topanga,BATTERY - SIMPLE ASSAULT,2020,625
Topanga,BATTERY - SIMPLE ASSAULT,2021,557
Topanga,BATTERY - SIMPLE ASSAULT,2022,690
Topanga,BATTERY - SIMPLE ASSAULT,2023,624
Topanga,BURGLARY,2020,700
Topanga,BURGLARY,2021,721
Topanga,BURGLARY,2022,804
Topanga,BURGLARY,2023,638
Topanga,BURGLARY FROM VEHICLE,2020,542
Topanga,BURGLARY FROM VEHICLE,2021,559
Topanga,BURGLARY FROM VEHICLE,2022,457
